Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10,Interest
Languages,Drama,Photography,Arts and Humanities,Environment,Science,Athlete,Equality and Diversity,Technical,Fashion and Design,Arts and Humanities
Arts,Sports,Gardening,Engineering,History or Culture,Social Studies,Political Leader,Climate Change,Problem-solving,Entertainment,Engineering
Mathematics,Debate,Reading,Engineering,Environment,Mathematics,Entrepreneur,Climate Change,Problem-solving,Technology,Engineering
Science,Sports,Writing,Medicine,Social Issues,Science,Scientist,Equality and Diversity,Leadership,Healthcare,Medicine
Social Studies,Coding,Cooking,Business,Health,Arts,Artist,Animal Welfare,Communication,Education,Business
Languages,Drama,Photography,Arts and Humanities,Environment,Science,Athlete,Equality and Diversity,Technical,Fashion and Design,Arts and Humanities
Arts,Sports,Gardening,Engineering,History or Culture,Social Studies,Political Leader,Climate Change,Problem-solving,Entertainment,Engineering
Mathematics,Debate,Reading,Engineering,Environment,Mathematics,Entrepreneur,Climate Change,Problem-solving,Technology,Engineering
Science,Sports,Writing,Medicine,Social Issues,Science,Scientist,Equality and Diversity,Leadership,Healthcare,Medicine
Social Studies,Coding,Cooking,Business,Health,Arts,Artist,Animal Welfare,Communication,Education,Business
Languages,Drama,Photography,Arts and Humanities,Environment,Science,Athlete,Equality and Diversity,Technical,Fashion and Design,Arts and Humanities
